timestamp,open,high,low,close,volume
1758263040,6687.5,6688,6684.25,6686,858
1758263220,6686,6688,6686,6687.25,687
1758263400,6687.5,6688.25,6685.75,6686.75,702
1758263580,6687,6687.25,6685.25,6686.5,327
1758263760,6686.25,6689.5,6685.75,6688.75,637
1758263940,6689,6691.5,6688.75,6690.25,701
1758264120,6690.25,6691,6689,6689.5,296
1758264300,6689.5,6689.75,6688.25,6688.75,299
1758264480,6688.75,6689.75,6686.25,6689.5,590
1758264660,6689.5,6689.5,6686.25,6687,565
1758264840,6687,6689,6686.25,6688.5,622
1758265020,6688.5,6688.5,6684,6684,582
1758265200,6684,6686.75,6683.25,6685.75,1130
1758265380,6686,6686.25,6681.75,6683,925
1758265560,6682.75,6683.25,6679.5,6681,867
1758265740,6681.25,6685.75,6680.75,6685.25,833
1758265920,6685.5,6685.75,6683.5,6683.5,554
1758266100,6683.25,6685.5,6682.75,6684,460
1758266280,6684.25,6686.5,6683.75,6686.25,1287
1758266460,6686.25,6686.25,6685.25,6686,327
1758266640,6686,6687.75,6686,6687.5,565
1758266820,6687.25,6689.5,6686.5,6688.75,374
1758267000,6688.75,6689,6687.25,6688,602
1758267180,6688,6688.5,6686.25,6686.25,445
1758267360,6686.25,6688.25,6685.5,6688,421
1758267540,6688.25,6688.5,6687,6687.25,399
1758267720,6687.25,6688.5,6687.25,6688,491
1758267900,6688,6688,6685,6685.25,629
1758268080,6685.25,6687,6684.75,6686,344
1758268260,6686,6688.5,6685.5,6687.25,511
1758268440,6687.25,6689.25,6687,6687.75,579
1758268620,6687.75,6688.75,6687.25,6688,260
1758268800,6688,6689.25,6687.5,6687.5,690
1758268980,6687.5,6689.75,6687.25,6689.25,627
1758269160,6689.25,6690.25,6689,6690,401
1758269340,6689.75,6692.25,6689.75,6692,592
1758269520,6692.25,6693,6691.75,6692.5,546
1758269700,6692.5,6693.5,6691.5,6692.75,544
1758269880,6692.75,6694,6692.25,6694,406
1758270060,6694,6694.5,6693,6693.25,303
1758270240,6693.5,6693.75,6692.75,6693,304
1758270420,6692.75,6694.5,6692.75,6694,287
1758270600,6694,6694.5,6693.5,6694,235
1758270780,6694.25,6695.5,6693.75,6695.25,333
1758270960,6695.25,6695.25,6694.25,6694.75,486
1758271140,6694.5,6694.5,6693,6693,368
1758271320,6692.75,6693.5,6692.25,6693,232
1758271500,6693.25,6693.5,6692.75,6693.25,316
1758271680,6693.5,6693.5,6692.5,6692.5,254
1758271860,6692.5,6693.75,6692.5,6693,248
1758272040,6693,6693.25,6692.25,6692.75,214
1758272220,6692.75,6693.25,6692.5,6693,213
1758272400,6692.75,6694.75,6692.5,6694.25,590
1758272580,6694.5,6694.75,6693.25,6693.75,221
1758272760,6693.5,6694.25,6692.25,6694,346
1758272940,6694.25,6694.5,6693.25,6694,381
1758273120,6693.75,6694.25,6692.5,6692.75,291
1758273300,6692.75,6694.25,6692.75,6694.25,196
1758273480,6694.25,6694.75,6693.5,6694.5,355
1758273660,6694.5,6696,6694.5,6695.75,379
1758273840,6695.75,6696.25,6695.5,6696,233
1758274020,6696.25,6696.25,6695.5,6695.5,223
1758274200,6695.75,6696.5,6695.25,6696.5,369
1758274380,6696.5,6697.75,6696.25,6696.25,585
1758274560,6696.25,6697.5,6696.25,6697.25,233
1758274740,6697.25,6697.5,6697,6697.25,189
1758274920,6697.25,6697.75,6696.5,6696.5,262
1758275100,6696.5,6697.5,6695.5,6696.5,368
1758275280,6696.25,6697.5,6695.75,6696,630
1758275460,6695.75,6696,6693,6693.5,558
1758275640,6693.75,6694.5,6693,6694.25,540
1758275820,6694,6694.5,6693,6693,513
1758276000,6693.25,6693.5,6691.25,6692.25,452
1758276180,6692.5,6693.5,6691.75,6693.25,321
1758276360,6693.5,6693.75,6693,6693.75,321
1758276540,6693.75,6694.5,6693.25,6694.5,261
1758276720,6694.25,6694.5,6692,6693.75,364
1758276900,6693.75,6696.5,6693.75,6696.5,564
1758277080,6696.5,6696.5,6694,6694.5,434
1758277260,6694.5,6694.75,6693.25,6693.5,285
1758277440,6693.5,6695.75,6693.5,6695.5,315
1758277620,6695.25,6695.75,6695,6695,207
1758277800,6695.25,6695.25,6694,6694.25,320
1758277980,6694.5,6695.5,6694.25,6695.5,464
1758278160,6695.5,6696.75,6695.5,6696.75,411
1758278340,6697,6697.5,6696.25,6697.25,225
1758278520,6697.25,6697.5,6696.25,6696.25,276
1758278700,6696,6696.5,6695.25,6695.25,230
1758278880,6695.25,6695.5,6694.25,6695,262
